"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Kdr" 0 15.3033788583349 0.619 0 0
"Klk1b27" 0 14.6324483525598 0.401 0 0
"Cd24a" 0 14.6260225298877 0.412 0 0
"Cdk1" 0 14.542815674805 0.237 0 0
"Gfod2" 0 14.3255706124689 0.167 0 0
"Ctnnd2" 0 14.2755794523414 0.289 0 0
"Bcl11a" 0 14.034096084844 0.223 0 0
"Cdkn1c" 0 14.0207520190933 0.212 0 0
"Cav1" 0 14.0062558832233 0.45 0 0
"Tuba1c" 0 13.965193188248 0.166 0 0
"Aspm" 0 13.9582375116411 0.197 0 0
"F13a1" 0 13.9476801822497 0.184 0 0
"Marcksl1" 0 13.8174423047722 0.236 0 0
"Rrm1" 0 13.7431538347461 0.236 0 0
"Pbld1" 0 13.7287752070446 0.201 0 0
"Bcl2" 0 13.6557299729074 0.235 0 0
"Ifit1" 0 13.4682816866363 0.169 0 0
"Asph" 0 13.4462980917646 0.178 0 0
"Hjurp" 0 13.4434210962552 0.294 0 0
"Cd4" 3.08290226141513e-306 13.3674765029628 0.145 0 2.21044092143465e-303
"Gm42047" 0 13.3262895538694 0.16 0 0
"Pdzk1ip1" 1.04513208599652e-249 13.234357853814 0.119 0 7.49359705659508e-247
"Cmpk2" 0 13.2326777095392 0.151 0 0
"Ccl22" 9.79864647132358e-279 13.228389518467 0.132 0 7.025629519939e-276
"Ltf" 3.28809722455987e-264 13.1464238899379 0.125 0 2.35756571000943e-261
"Ezh2" 0 13.1095402811841 0.161 0 0
"Klk8" 0 13.0977029247252 0.478 0.001 0
"Rnase12" 0 13.0764237274806 0.304 0 0
"Gata2" 3.51363441207452e-163 13.0758255680824 0.078 0 2.51927587345743e-160
"Cyp11a1" 0 13.0682606664411 0.189 0 0
"Ube2c" 2.37537504819471e-280 13.0548879336765 0.133 0 1.70314390955561e-277
"Syngr1" 2.37537504819471e-280 13.0256842835118 0.133 0 1.70314390955561e-277
"Gstt1" 3.61562305250233e-219 13.0248541051055 0.104 0 2.59240172864417e-216
"AC168977.1" 0 13.0046486065821 0.255 0 0
"Npm3" 0 13.0014413530919 0.15 0 0
"Etv5" 0 12.9870007743583 0.224 0 0
"Map2" 9.69730848989369e-181 12.9792809993532 0.086 0 6.95297018725377e-178
"Sdc3" 2.37497475050731e-174 12.9562239848031 0.083 0 1.70285689611374e-171
"Apex1" 0 12.9468267758394 0.162 0 0
"Cenpw" 0 12.8706075900286 0.188 0 0
"Cd300c" 0 12.8654995913137 0.324 0 0
"Ccnb2" 0 12.7129165927215 0.198 0 0
"Sdc1" 8.28841011446739e-122 12.7126094313958 0.058 0 5.94279005207312e-119
"Slbp" 0 12.6889318732402 0.207 0 0
"Hist1h2ae" 0 12.6514042637487 0.21 0 0
"Dctpp1" 6.17269976243714e-184 12.5749481064735 0.087 0 4.42582572966743e-181
"Serpina3f" 0 12.5701367297167 0.182 0 0
"Hist1h1a" 8.42349415842198e-229 12.5694994781318 0.109 0 6.03964531158856e-226
"Fh1" 3.28809722455987e-264 12.515439816776 0.125 0 2.35756571000943e-261
"Dcstamp" 0 12.457604792854 0.161 0 0
"H2afy" 1.37257077789346e-225 12.387950909212 0.107 0 9.84133247749609e-223
"Hist1h2bc" 0 12.3436179262923 0.147 0 0
"1700020L24Rik" 3.88902784272312e-203 12.2394621063393 0.097 0 2.78843296323248e-200
"Apol9a" 1.46049569499022e-169 12.2271005489952 0.081 0 1.04717541330799e-166
"Klrb1b" 0 12.2155559637855 0.162 0 0
"Cdh17" 0 12.2057893016926 0.189 0 0
"Stfa2l1" 2.37537504819471e-280 12.1720414459184 0.133 0 1.70314390955561e-277
"Cenpf" 2.37537504819471e-280 12.1487332190084 0.133 0 1.70314390955561e-277
"Gpnmb" 2.47630449793644e-198 12.1235214253918 0.094 0 1.77551032502043e-195
"Stfa1" 9.00098305954382e-103 12.1136084317229 0.049 0 6.45370485369292e-100
"Gm26674" 6.85039924026063e-274 12.10955702943 0.13 0 4.91173625526687e-271
"Cadm1" 0 12.0952436197771 0.176 0 0
"Sapcd1" 0 12.0916781637521 0.256 0 0
"Ckap2l" 9.69730848989369e-181 12.0648015766884 0.086 0 6.95297018725377e-178
"Fcgr1" 6.20534344030766e-200 12.0563708340867 0.095 0 4.44923124670059e-197
"Aff3" 1.60435167188703e-296 12.0153816569182 0.141 0 1.150320148743e-293
"Mcemp1" 4.03527503524357e-71 11.9186184787057 0.033 0 2.89329220026964e-68
"Rflnb" 6.66287307005493e-295 11.9132695511203 0.14 0 4.77727999122938e-292
"H2-Q6" 8.72417754702899e-179 11.8983050920263 0.086 0 6.25523530121979e-176
"Psat1" 0 11.8855339310629 0.155 0 0
"Ccl12" 1.97299089415988e-150 11.864413302894 0.071 0 1.41463447111263e-147
"Cd14" 0 11.8231971061494 0.197 0 0
"Kifc1" 8.98359327486587e-221 11.8157509756186 0.105 0 6.44123637807883e-218
"Sectm1a" 6.17269976243714e-184 11.7682295808765 0.087 0 4.42582572966743e-181
"Idh3a" 8.42349415842198e-229 11.7368976238697 0.109 0 6.03964531158856e-226
"Spc25" 3.88902784272312e-203 11.6983049363245 0.097 0 2.78843296323248e-200
"Gsr" 6.17269976243714e-184 11.5831560472561 0.087 0 4.42582572966743e-181
"Gm15879" 1.85245620790265e-115 11.5591406867794 0.055 0 1.3282111010662e-112
"Bcas1" 1.38160302591536e-161 11.4832342638824 0.077 0 9.90609369581314e-159
"Nkg7" 0 11.4628988756686 0.157 0 0
